編號,名稱,住址,電話,行動電話
"1","中日動物醫院","新竹市西大路656號","(03)5231015",""
"2","光華動物醫院","新竹市水田街177號","(03)5439840",""
"3","全育動物醫院","新竹市南大路436號","(03)5614316",""
"4","全美動物醫院","新竹市四維路96號","(03)5266284",""
"5","旺鑫動物醫院","新竹市關東路23巷23號","(03)5778558",""
"6","信安動物醫院","新竹市民權路242號","(03)5318126",""
"7","風城動物醫院","新竹市中華路四段32號","(03)5305073",""
"8","仁心寵物醫院","新竹市北大路105號","(03)5429958",""
"9","懷生動物醫院","新竹市金城一路24號","(03)5752382",""
"10","傑恩動物醫院","新竹市中華路二段667號","(03)5223579",""
"11","台大安欣動物醫院","新竹市東光路25號","(03)5751317",""
"12","紐約動物醫院","新竹市民族路247號","(03)5152125",""
"13","新竺動物醫院","新竹市竹光路98號","(03)5429961",""
"14","謙華動物醫院","新竹市公園路226號","(03)5331414",""
"15","安定動物醫院","新竹市公園路227巷28號","(03)5611369",""
"16","康乃爾動物醫院","新竹市武陵路16號1樓","(03)5346161",""
"17","淇寶寶動物醫院","新竹市光復路一段360-22號","(03)5631093",""
"18","台大慈仁動物醫院","新竹市武陵路2-1號1樓","(03)5333931",""
"19","渤海動物診所","新竹市西大路102巷4號","(03)5610432",""
"20","築心動物醫院","新竹市經國路一段654號","(03)5338055",""
"21","新方伴侶動物醫院","新竹市金城三路一號","(03)6667657",""
"22","大福小幸動物醫院","新竹市經國路三段92巷6號","(03)5300175",""
"23","協和動物醫院","新竹市南大路48號1樓","(03)5215380",""
"24","毛毛村動物醫院","新竹市自由路17號","(03)5620606",""
"25","有你動物醫院","新竹市中華路五段46號","(03)5300291",""
"26","高飛動物醫院","新竹市科園路106號1樓","(03)5775899",""
"27","全天候動物醫院","新竹市關新路225號1樓","(03)6686356",""
"28","耀眼動物醫院","新竹市忠孝路279之3號","(03)5726688",""
"29","澄品動物醫院","新竹市東大路二段315號","(03)5352503",""
"30","家家貓園","新竹市經國路一段369號1及2樓","","0970709270"
"31","妮可貓工作室","新竹市境福街221號1及2樓","","0960554432"
"32","瑪尼布偶貓舍","新竹市成功路65巷16號1樓","","0966582257"
"33","頑固寵物水族","新竹市武陵西二路3號1樓","(03)5421288",""
"34","唯寵獨尊名犬坊","新竹市海埔路151巷105號1樓","","0917264996"
"35","庭園寵物名貓園","新竹市經國路三段53號1樓","(03)5386890",""
"36","喜德喵寵物坊","新竹市金竹路118巷41號1樓","(03)5320518",""
"37","萌中芹貓企業社","新竹市牛埔路380巷16號2-4樓","","0989669835"
"38","展翊貓鐵寵物旅館","新竹市埔頂路12號","","0930020132"
"39","北歐森林貓舍","新竹市光華一街40號1樓","","0902396350"
"40","一拳貓舍","新竹市中華路四段320號1樓","","0968807458"
"41","貝爾寵物精品生活館","新竹市延平路一段214巷85號1樓","(03)5611616",""
"42","魚生有貓寵物店","新竹市公道三路59巷15號1樓","","0981399385"
"43","星悦貓舍","新竹市花園新城街3巷3號1、2樓","","0900247188"
"44","北歐森林寵物工作室","新竹市關新一街26號","(03)5332292",""
